product_id,quantity,wholesale_cost,sale_price,supplier_id
42Q4G2RWGQFT,6171,371.8,606.03,DKAIAEQE
6WVOQ0XW3CB5,2774,122.52,197.26,UMUZGJYV
V2LVHIKADXOT,3561,396.75,636.78,JBBAJMPC
7CJ1SBUDDKCA,1110,152.59,191.2,PWSIGSHS
YH7BNZPUHYML,4386,425.09,722.23,WJYMSRGC
AO7EZAQRYGS9,1157,143.72,195.89,MNFXITXS
1PNO9A59V9AG,2077,109.69,170.02,ZBLEELUQ
9VUBFPAV3NCH,7606,387.48,594.78,LDHDYTKW
WANWEV3ENWLI,726,42.9,77.05,PWSIGSHS
V0FWTYNRCBDS,3314,390.12,691.68,NKEHPQEG
J0OP6RS79ERX,6298,361.5,486.94,UAXXAWZE
WCH60COIBKT9,1188,132.53,245.58,VNELHOLF
DEQL0S8V7RML,3674,341.26,386.65,AVSSCHIT
BVCCLECQNB70,4790,395.42,739.44,UNHSZJXF
E8MDRC47BRAX,2649,132.53,199.46,XZAGPOCG
NACDEJOL7YQQ,2925,125.82,146.83,SPHMKEAN
TSSLDA8E2XR6,2558,113.64,166.71,PWSIGSHS
NFWS1M7RIOJW,1705,99.7,150.15,GCKGKIWD
21HHH7HEM6BC,348,7.47,10.7,FHCSVNQP
93EQ73NSYZ4W,234,7.47,9.99,BMJSHBNA
L3KVYKMXUXOG,5320,431.95,806.45,ANNRTCUF
1J229EDTXNCH,2877,128.32,171.82,YSTSIUBO
3JZ1TBI2T8S9,1213,109.69,123.84,SPHMKEAN
F4ZIO6NQH5AT,7064,425.09,540.71,UMUZGJYV
XS3ML9D527EI,4962,384.85,725.83,LLNHNSKA
ODL97JZASBMP,1470,120.07,147.57,ODOAPUPB
J7H5PBTY6Q96,7680,433.33,809.46,ZBLEELUQ
SYP5UY1PU3UF,5768,416.91,566.16,QNMUTIKH
S6JY85VKFTJR,2719,117.64,134.7,AVSSCHIT
OEANTB7T9EDG,3005,474.09,736.26,UNHSZJXF
7Q72OIRM677S,701,40.27,63.99,PCKHXFGY
DPBJZ9BFAK0I,7534,399.41,672.61,UAXXAWZE
RRU4WZZ5AW3W,7577,399.41,724.93,ADMWFSCP
T5THHTVE6WMG,383,13.7,23.36,SPHMKEAN
V6H2HD6EDNP7,5899,391.44,661.93,SPSRJXRS
TZHW2DUM3NZW,5115,431.95,645.77,QRUKFFOG
M932RA1W6RGE,4640,425.09,646.99,FHCSVNQP
GFKYUEYCDOPM,395,12.72,17.6,JPGLPLVP
HNWBHOMN7VD2,6954,374.4,645.47,DKAIAEQE
LD4567UGVM1K,5442,388.8,547.04,IOTLFICR
E0F7ELTNPGHG,3160,387.48,447.15,IOTCUKCW
2KD596BJ8KHO,4676,416.91,758.36,PIYDYPTC
GCSRHEOUEDIP,7171,387.48,735.05,RKYXKPPW
S1XAJJMTOS4D,4193,438.86,553.84,XZAGPOCG
PXTY8N7N84TV,8,0.15,0.27,AIRHKZKV
PRKOLTRJ7X0A,2259,115.23,126.98,LYAWRLFE
1VWOYBLOU0L2,6951,414.2,687.99,WJYMSRGC
IZJ1BD36F8IZ,1735,124.99,217.86,OTXZMFOP
BPE5MFNFPVXY,4513,395.42,714.13,UMUZGJYV
N03EKERSLS4J,4734,404.76,552.5,YRTMLUBW
V0ZGKI8SXHYW,2529,133.37,249.8,QYAHHFGX
AJABIK16FI9R,1682,124.17,190.1,DKAIAEQE
MMRE52Q341P0,1711,122.52,175.2,PWYISQQQ
OFF4VK13GXUQ,3483,438.86,585.88,NKEHPQEG
LTPU3Q3AL6VZ,5708,408.79,655.7,UAXXAWZE
R1L5HXL6LPV6,318,16.11,25.37,MAPFZZBL
YKT9QH80SD3A,177,16.83,31.96,CSCXEACP
YV20NOFVGDQ4,1815,120.89,229.21,QRUKFFOG
3HCFKA4PUKTM,1233,127.48,168.53,FHCSVNQP
JDLAXD3PZR6M,1412,125.82,161.05,XZAGPOCG
QM3LER2CWB19,7309,422.35,742.91,BMJSHBNA
MANDQTANAD76,1405,124.17,155.21,SPSRJXRS
IFWYLOTJ5Q0K,6869,391.44,454.07,YRTMLUBW
F761AR2LHMVV,4517,407.45,455.94,IOTLFICR
QSP6O67W7T4R,6704,416.91,682.9,GTQPDUYW
O8X1D5OHE292,4414,378.3,466.82,PWYISQQQ
12C7656QIP5O,3538,429.2,613.33,ODOAPUPB
1F63E0WSBUGH,2757,123.34,154.55,UAXXAWZE
6FEMWT6YC0TS,2804,118.45,176.37,DKAIAEQE
AGGY2PBOR88L,1761,128.32,233.54,QRUKFFOG
OU9YCCFYY02E,149,10.84,14.61,MDZQSKXO
Q5ZRKE144Z6F,7291,422.35,565.53,RKYXKPPW
W7081UDGNDLJ,6093,434.71,762.48,LLNHNSKA
QXQNDWEWGGBQ,7738,384.85,519.93,UMUZGJYV
ZDB9P1M37FHF,3643,370.51,475.36,SPHMKEAN
YR7W0WL2I9TJ,5654,418.27,507.36,MNFXITXS
GLPUHLKDZJTK,4231,426.46,569.32,PWSIGSHS
IWSUH79Z7UAX,7627,387.48,486.67,IOTCUKCW
1ERPMD5J5Q0I,2497,99.7,118.94,OEAJLFNF
UTC6G06MF7AY,7241,420.99,727.05,PWYISQQQ
N1NFV3QO279E,3108,412.84,658.89,FHCSVNQP
146WX1FOBTEO,170,15.75,24.63,FHCSVNQP
MEI7B2Z2ORDM,1376,141.11,171.17,WJXPUKVV
66UOK6Q6Y3EE,3526,366.64,423.47,GLQAEOQF
7LSPA6KWPNL2,6907,431.95,574.93,RLZQMNWJ
55I4I59RD6TX,7308,429.2,643.8,ANNRTCUF
75905NTUFXPE,3328,407.45,453.08,PWYISQQQ
